model_name,k_tau,parameter_count,n_fit_points,dof,fit_r_min_kpc,fit_r_max_kpc,rmse_kms,chi_square,reduced_chi_square,aic,bic,n_negative_residual_v2,knot_gradient_values,audit_type,mask_name,notes
tdf_lowparam_3knot_corbelli_default,1.0,3,56,52,0.4,23.0,3.5140993043592728,56.97246601846556,1.095624346508953,62.97246601846556,69.04852109067102,27,2034.34;984.633;625.785,fit_mask_sensitivity,corbelli_default,3-knot refit under alternate mask; ranking stability check.
tdf_lowparam_3knot_stricter_0p5_22p5,1.0,3,54,50,0.5,22.5,3.505494321251985,56.730299956551576,1.1346059991310316,62.730299956551576,68.6972520962444,25,2014.74;983.007;644.132,fit_mask_sensitivity,stricter_0p5_22p5,3-knot refit under alternate mask; ranking stability check.
tdf_lowparam_3knot_stricter_1p0_22p0,1.0,3,50,46,1.0,22.0,3.1575863338542733,64.93476681366839,1.41162536551453,70.93476681366839,76.67083582995282,24,1917.45;963.624;667.315,fit_mask_sensitivity,stricter_1p0_22p0,3-knot refit under alternate mask; ranking stability check.
