method,k_tau,tau0,smoothing_parameters,n_rows,n_negative_raw_delta_v2,n_negative_smoothed_vtau2,raw_gradient_spike_count,smoothed_gradient_spike_count,raw_gradient_smoothness_metric,smoothed_gradient_smoothness_metric,reconstruction_rmse_smooth_kms,max_abs_reconstruction_error_smooth_kms,is_independent_halo_fit,aic_bic_comparison_deferred,effective_complexity_note,notes,preserve_positive_vtau2_check
gaussian_radius_smoothing,1.0,0.0,sigma_kpc=0.75,58,0,0,8,0,122.80785288624861,42.52926084891915,2.125463908487595,8.450586293786529,False,True,Fixed σ_kpc from config; not fitted. Effective DOF not reduced to a small parameter count — formal comparison deferred to Phase 3C.,Regularized τ-gradient is not an independent halo fit. Smoothing parameters are fixed from config (not fitted to rotation). AIC/BIC comparison deferred to Phase 3C low-parameter / effective-DOF treatment.,True
smoothing_spline,1.0,0.0,spline_s=variance_fallback,58,0,0,8,0,122.80785288624861,20.222597137607345,3.223451994754761,9.616662516993628,False,True,Fixed spline s from config (or documented variance fallback); not fitted. Formal model comparison deferred to Phase 3C.,Regularized τ-gradient is not an independent halo fit. Smoothing parameters are fixed from config (not fitted to rotation). AIC/BIC comparison deferred to Phase 3C low-parameter / effective-DOF treatment.,True
