model_name,fit_r_min_kpc,fit_r_max_kpc,n_fit_points,n_rows_total,rmse_kms,chi_square,reduced_chi_square,parameter_count,aic,bic,n_negative_residual_v2,is_tdf_model,tau_reconstruction_performed,phase2_scope,baryonic_derivation_caveat,phase2a_full_grid_rmse_kms,phase2a_full_grid_n_points,interpretation_note,burkert_at_r0_upper_bound,burkert_publication_stable,rho_s_msun_kpc3,r_s_kpc,nfw_M_enclosed_23kpc_msun,nfw_c_approx_at_23kpc,corbelli2014_c_ref,corbelli2014_Mh_ref_msun,nfw_is_lcdm_baseline_not_tdf,rho0_msun_kpc3,rho0_msun_pc3,r0_kpc,corbelli2014_r0_ref_kpc,corbelli2014_rho0_ref_msun_pc3,burkert_r0_mismatch_vs_corbelli,burkert_rho0_mismatch_vs_corbelli
baryonic_only,0.4,23.0,56,58,58.56013160524758,20095.897143438586,365.3799480625197,0,20095.897143438586,20095.897143438586,0,False,False,comparison_baseline_only,derived_baryonic_velocity_pass_with_caveat (Phase 1D-D1),57.62446643939413,58.0,"Baryonic-only: large χ² expected (missing halo). Phase 3 uses Δv²=v_obs²−v_bar² from Phase 2A, not halo-subtracted.",False,,,,,,,,,,,,,,,
nfw,0.4,23.0,56,58,4.164889400933067,63.96716968585142,1.206927729921725,2,67.96716968585142,72.01787306732172,21,False,False,comparison_baseline_only,derived_baryonic_velocity_pass_with_caveat (Phase 1D-D1),,,NFW fit is a ΛCDM comparison baseline on D1-derived baryons; not a TDF result. Reduced χ²≈1 does not validate TDF or rule out DM.,False,,6308208.8253069725,13.201358778285284,68107438984.14602,0.5739721207950124,9.5,430000000000.0,True,,,,,,,
burkert,0.4,23.0,56,58,23.02126299908487,2337.912306193332,44.111552947044,2,2341.912306193332,2345.963009574802,20,False,False,comparison_baseline_only,derived_baryonic_velocity_pass_with_caveat (Phase 1D-D1),,,Burkert r0 at upper fit bound (~200 kpc); poorly constrained on D1 baryonic curve—do not over-interpret vs Corbelli BVI reference.,True,False,,,,,,,,1764.1989150746065,0.0017641989150746064,199.9861869632743,7.5,0.018,True,True
