model_name,n_points,rmse_kms,chi_square,reduced_chi_square,parameter_count,aic,bic,n_negative_residual_v2,notes,n_fit_points,dof,fit_r_min_kpc,fit_r_max_kpc,n_rows_total
baryonic_only,56,58.56013160524758,20095.897143438582,365.3799480625197,0,20095.897143438582,20095.897143438582,0,Baryonic-only row recomputed on fit mask 0.4–23 kpc for fair comparison with NFW/Burkert (k=0; D1-derived components).,56,55,0.4,23.0,58
nfw,56,4.164889400933067,63.96716968585142,1.206927729921725,2,67.96716968585142,72.01787306732172,21,"Corbelli 2014 ref (sanity only): c≈9.5±1.5, Mh≈4.30e+11±1.0e+11 M_sun; fitted rho_s=6.308e+06 M_sun/kpc^3, r_s=13.201 kpc. D1 baryonic caveat applies.",56,53,0.4,23.0,58
burkert,56,23.02126299908487,2337.912306193332,44.111552947044,2,2341.912306193332,2345.963009574802,20,"Corbelli 2014 BVI ref (sanity only): r0≈7.5 kpc, rho0≈0.018 M_sun/pc^3; fitted rho0=0.0018 M_sun/pc^3, r0=199.986 kpc. D1 baryonic caveat applies.",56,53,0.4,23.0,58
