source_id,figure_id,r_kpc,v_gas_digitized_kms,v_disk_digitized_kms,v_gas_derived_kms,v_disk_derived_kms,residual_gas_kms,residual_disk_kms,digitization_uncertainty_kms,gas_within_tolerance,disk_within_tolerance,validation_status,validation_notes
corbelli_et_al_2014,fig12_bottom_bvigi_label_corrected,1.0,10,45,8.887377922609645,46.29232724247081,-1.1126220773903555,1.2923272424708117,5.0,True,True,PASS_WITH_CAVEAT,"Mostly within tolerance (gas 5/5, disk 3/5); median |Δv_gas|=2.0, |Δv_disk|=6.9 km/s. Fig. 12 is low-precision sanity check; D1 ≠ Casertano (1983). See label audit if corrected spot-check used."
corbelli_et_al_2014,fig12_bottom_bvigi_label_corrected,5.0,25,70,26.75857281093816,59.709963823396336,1.7585728109381584,-10.290036176603664,5.0,True,False,PASS_WITH_CAVEAT,"Mostly within tolerance (gas 5/5, disk 3/5); median |Δv_gas|=2.0, |Δv_disk|=6.9 km/s. Fig. 12 is low-precision sanity check; D1 ≠ Casertano (1983). See label audit if corrected spot-check used."
corbelli_et_al_2014,fig12_bottom_bvigi_label_corrected,10.0,38,55,35.98763514496908,46.5631774661131,-2.012364855030917,-8.436822533886897,5.0,True,False,PASS_WITH_CAVEAT,"Mostly within tolerance (gas 5/5, disk 3/5); median |Δv_gas|=2.0, |Δv_disk|=6.9 km/s. Fig. 12 is low-precision sanity check; D1 ≠ Casertano (1983). See label audit if corrected spot-check used."
corbelli_et_al_2014,fig12_bottom_bvigi_label_corrected,15.0,32,45,29.27082155330113,38.10123455901395,-2.729178446698871,-6.898765440986047,5.0,True,True,PASS_WITH_CAVEAT,"Mostly within tolerance (gas 5/5, disk 3/5); median |Δv_gas|=2.0, |Δv_disk|=6.9 km/s. Fig. 12 is low-precision sanity check; D1 ≠ Casertano (1983). See label audit if corrected spot-check used."
corbelli_et_al_2014,fig12_bottom_bvigi_label_corrected,20.0,28,40,25.55074525250339,33.545684791283584,-2.44925474749661,-6.454315208716416,5.0,True,True,PASS_WITH_CAVEAT,"Mostly within tolerance (gas 5/5, disk 3/5); median |Δv_gas|=2.0, |Δv_disk|=6.9 km/s. Fig. 12 is low-precision sanity check; D1 ≠ Casertano (1983). See label audit if corrected spot-check used."
