model_name,n_points,rmse_kms,chi_square,reduced_chi_square,parameter_count,aic,bic,n_negative_residual_v2,notes,n_fit_points,dof,fit_r_min_kpc,fit_r_max_kpc,n_rows_total
tdf_lowparam_3knot,56,3.5140993043592728,56.97246601846556,1.095624346508953,3,62.97246601846556,69.04852109067102,27,"Low-parameter τ-gradient knot model (k=3 knot values fitted; K_τ=1.0 fixed). Baryonic Δv² input only. D1-derived baryonic PASS_WITH_CAVEAT. Not a lensing test; no 2D τ map. Phase 3A/3B are reconstruction/regularization, not fair AIC/BIC competitors.",56,52,0.4,23.0,58
tdf_lowparam_4knot,56,3.9291044597295492,59.987105828309545,1.176217761339403,4,67.98710582830955,76.08851259125015,29,"Low-parameter τ-gradient knot model (k=4 knot values fitted; K_τ=1.0 fixed). Baryonic Δv² input only. D1-derived baryonic PASS_WITH_CAVEAT. Not a lensing test; no 2D τ map. Phase 3A/3B are reconstruction/regularization, not fair AIC/BIC competitors.",56,51,0.4,23.0,58
tdf_lowparam_5knot,56,3.3510091011638834,56.34110064281265,1.126822012856253,5,66.34110064281265,76.4678590964884,28,"Low-parameter τ-gradient knot model (k=5 knot values fitted; K_τ=1.0 fixed). Baryonic Δv² input only. D1-derived baryonic PASS_WITH_CAVEAT. Not a lensing test; no 2D τ map. Phase 3A/3B are reconstruction/regularization, not fair AIC/BIC competitors.",56,50,0.4,23.0,58
