model_name,log10_rho_s_msun_kpc3,log10_r_s_kpc,rho_s_msun_kpc3,r_s_kpc,log10_rho0_msun_kpc3,log10_r0_kpc,rho0_msun_kpc3,r0_kpc,fit_success,fit_cost,fit_message,n_iterations,parameter_count,reference_notes
nfw,6.799906061666594,1.1206186342013968,6308208.8253069725,13.201358778285284,,,,,True,31.983584842925715,`ftol` termination condition is satisfied.,13,2,"Corbelli 2014 ref (sanity only): c≈9.5±1.5, Mh≈4.30e+11±1.0e+11 M_sun; fitted rho_s=6.308e+06 M_sun/kpc^3, r_s=13.201 kpc. D1 baryonic caveat applies."
burkert,,,,,3.2465475506648134,2.3009999999999997,1764.1989150746065,199.9861869632743,True,1168.9561530966657,Both `ftol` and `xtol` termination conditions are satisfied.,13,2,"Corbelli 2014 BVI ref (sanity only): r0≈7.5 kpc, rho0≈0.018 M_sun/pc^3; fitted rho0=0.0018 M_sun/pc^3, r0=199.986 kpc. D1 baryonic caveat applies."
