model_name,k_tau,parameter_count,n_fit_points,dof,fit_r_min_kpc,fit_r_max_kpc,rmse_kms,chi_square,reduced_chi_square,aic,bic,n_negative_residual_v2,knot_gradient_values,audit_type,knot_count,notes
tdf_lowparam_3knot_k0.5,0.5,3,56,52,0.4,23.0,3.514099307205928,56.97246601846564,1.0956243465089546,62.97246601846564,69.04852109067109,27,4068.68;1969.27;1251.57,k_tau_sweep,3,K_τ normalization sweep; velocity metrics test scale degeneracy.
tdf_lowparam_4knot_k0.5,0.5,4,56,51,0.4,23.0,3.9291044505551356,59.98710582830914,1.176217761339395,67.98710582830914,76.08851259124974,29,4762.49;2724.79;1651.96;1328.57,k_tau_sweep,4,K_τ normalization sweep; velocity metrics test scale degeneracy.
tdf_lowparam_3knot_k1,1.0,3,56,52,0.4,23.0,3.5140993043592728,56.97246601846556,1.095624346508953,62.97246601846556,69.04852109067102,27,2034.34;984.633;625.785,k_tau_sweep,3,K_τ normalization sweep; velocity metrics test scale degeneracy.
tdf_lowparam_4knot_k1,1.0,4,56,51,0.4,23.0,3.9291044597295492,59.987105828309545,1.176217761339403,67.98710582830955,76.08851259125015,29,2381.24;1362.4;825.978;664.285,k_tau_sweep,4,K_τ normalization sweep; velocity metrics test scale degeneracy.
tdf_lowparam_3knot_k2,2.0,3,56,52,0.4,23.0,3.514099299090759,56.972466018465504,1.095624346508952,62.972466018465504,69.04852109067096,27,1017.17;492.317;312.893,k_tau_sweep,3,K_τ normalization sweep; velocity metrics test scale degeneracy.
tdf_lowparam_4knot_k2,2.0,4,56,51,0.4,23.0,3.9291044788614626,59.98710582830927,1.1762177613393974,67.98710582830927,76.08851259124987,29,1190.62;681.198;412.989;332.142,k_tau_sweep,4,K_τ normalization sweep; velocity metrics test scale degeneracy.
