model_name,knot_count,k_tau,knot_radii_kpc,knot_gradient_values,parameter_count,fit_success,fit_cost,fit_message,n_iterations,n_negative_vtau2,notes
tdf_lowparam_3knot,3,1.0,0.46;9.285;22.72,2034.34;984.633;625.785,3,True,28.486233009232777,`ftol` termination condition is satisfied.,5,0,"Low-parameter τ-gradient knot model (k=3 knot values fitted; K_τ=1.0 fixed). Baryonic Δv² input only. D1-derived baryonic PASS_WITH_CAVEAT. Not a lensing test; no 2D τ map. Phase 3A/3B are reconstruction/regularization, not fair AIC/BIC competitors."
tdf_lowparam_4knot,4,1.0,0.46;4.80333;13.7667;22.72,2381.24;1362.4;825.978;664.285,4,True,29.993552914154776,`ftol` termination condition is satisfied.,5,0,"Low-parameter τ-gradient knot model (k=4 knot values fitted; K_τ=1.0 fixed). Baryonic Δv² input only. D1-derived baryonic PASS_WITH_CAVEAT. Not a lensing test; no 2D τ map. Phase 3A/3B are reconstruction/regularization, not fair AIC/BIC competitors."
tdf_lowparam_5knot,5,1.0,0.46;3.165;9.285;16.0025;22.72,2131.5;1703.84;981.976;812.125;596.474,5,True,28.17055032140632,`ftol` termination condition is satisfied.,5,0,"Low-parameter τ-gradient knot model (k=5 knot values fitted; K_τ=1.0 fixed). Baryonic Δv² input only. D1-derived baryonic PASS_WITH_CAVEAT. Not a lensing test; no 2D τ map. Phase 3A/3B are reconstruction/regularization, not fair AIC/BIC competitors."
